Model,Prompt Level,Trait,QWK,95% CI Lower,95% CI Upper
jais,prompt_level_1,organization,-0.007,-0.056,0.059
jais,prompt_level_1,vocabulary,0.002,0.0,0.009
jais,prompt_level_1,style,0.0,-0.002,0.002
jais,prompt_level_1,development,0.026,-0.015,0.081
jais,prompt_level_1,mechanics,0.011,0.0,0.034
jais,prompt_level_1,structure,-0.007,-0.031,0.025
jais,prompt_level_1,relevance,0.069,0.0,0.225
jais,prompt_level_1,final_score,-0.028,-0.086,0.026
jais,prompt_level_2,organization,0.006,0.0,0.016
jais,prompt_level_2,vocabulary,0.005,0.0,0.012
jais,prompt_level_2,style,0.007,0.0,0.017
jais,prompt_level_2,development,0.01,0.0,0.026
jais,prompt_level_2,mechanics,0.007,0.0,0.018
jais,prompt_level_2,structure,0.003,-0.0,0.01
jais,prompt_level_2,relevance,0.004,0.0,0.012
jais,prompt_level_2,final_score,0.01,0.0,0.026
jais,prompt_level_3,organization,0.0,0.0,0.0
jais,prompt_level_3,vocabulary,0.0,0.0,0.0
jais,prompt_level_3,style,0.0,0.0,0.0
jais,prompt_level_3,development,0.0,0.0,0.0
jais,prompt_level_3,mechanics,0.0,0.0,0.0
jais,prompt_level_3,structure,0.0,0.0,0.0
jais,prompt_level_3,relevance,0.0,0.0,0.0
jais,prompt_level_3,final_score,0.0,0.0,0.0
allam,prompt_level_1,organization,0.141,0.074,0.209
allam,prompt_level_1,vocabulary,-0.038,-0.087,-0.002
allam,prompt_level_1,style,0.052,0.003,0.105
allam,prompt_level_1,development,-0.002,-0.039,0.03
allam,prompt_level_1,mechanics,-0.033,-0.085,0.021
allam,prompt_level_1,structure,0.015,-0.018,0.049
allam,prompt_level_1,relevance,0.021,-0.018,0.075
allam,prompt_level_1,final_score,0.117,0.047,0.194
allam,prompt_level_2,organization,0.153,0.066,0.241
allam,prompt_level_2,vocabulary,0.091,-0.009,0.192
allam,prompt_level_2,style,0.083,-0.002,0.158
allam,prompt_level_2,development,0.104,0.038,0.176
allam,prompt_level_2,mechanics,0.033,-0.028,0.09
allam,prompt_level_2,structure,0.172,0.071,0.252
allam,prompt_level_2,relevance,0.177,0.051,0.307
allam,prompt_level_2,final_score,0.117,0.049,0.188
allam,prompt_level_3,organization,0.17,0.046,0.295
allam,prompt_level_3,vocabulary,0.205,0.072,0.329
allam,prompt_level_3,style,0.138,0.001,0.285
allam,prompt_level_3,development,0.189,0.063,0.325
allam,prompt_level_3,mechanics,0.115,-0.032,0.251
allam,prompt_level_3,structure,0.199,0.055,0.344
allam,prompt_level_3,relevance,0.139,0.004,0.28
allam,prompt_level_3,final_score,0.26,0.128,0.382
fanar,prompt_level_1,organization,0.016,-0.007,0.046
fanar,prompt_level_1,vocabulary,0.0,0.0,0.0
fanar,prompt_level_1,style,0.0,-0.002,0.002
fanar,prompt_level_1,development,0.0,0.0,0.0
fanar,prompt_level_1,mechanics,0.013,-0.0,0.035
fanar,prompt_level_1,structure,0.013,-0.0,0.034
fanar,prompt_level_1,relevance,0.0,0.0,0.0
fanar,prompt_level_1,final_score,0.029,0.01,0.048
fanar,prompt_level_2,organization,0.101,0.007,0.194
fanar,prompt_level_2,vocabulary,0.173,0.06,0.28
fanar,prompt_level_2,style,0.13,0.032,0.22
fanar,prompt_level_2,development,0.047,-0.005,0.104
fanar,prompt_level_2,mechanics,0.103,0.007,0.194
fanar,prompt_level_2,structure,0.163,0.065,0.252
fanar,prompt_level_2,relevance,0.179,0.039,0.32
fanar,prompt_level_2,final_score,0.159,0.073,0.244
fanar,prompt_level_3,organization,0.142,0.016,0.258
fanar,prompt_level_3,vocabulary,0.204,0.082,0.325
fanar,prompt_level_3,style,0.103,-0.055,0.27
fanar,prompt_level_3,development,0.204,0.078,0.328
fanar,prompt_level_3,mechanics,0.28,0.145,0.411
fanar,prompt_level_3,structure,0.122,0.007,0.229
fanar,prompt_level_3,relevance,0.231,0.096,0.357
fanar,prompt_level_3,final_score,0.285,0.175,0.402
qwen3vl,prompt_level_1,organization,0.086,0.039,0.139
qwen3vl,prompt_level_1,vocabulary,0.22,0.126,0.309
qwen3vl,prompt_level_1,style,0.187,0.104,0.266
qwen3vl,prompt_level_1,development,0.046,-0.002,0.094
qwen3vl,prompt_level_1,mechanics,0.19,0.106,0.281
qwen3vl,prompt_level_1,structure,0.096,0.044,0.151
qwen3vl,prompt_level_1,relevance,0.0,0.0,0.0
qwen3vl,prompt_level_1,final_score,0.085,0.034,0.137
qwen3vl,prompt_level_2,organization,-0.06,-0.105,-0.017
qwen3vl,prompt_level_2,vocabulary,-0.087,-0.138,-0.036
qwen3vl,prompt_level_2,style,-0.082,-0.128,-0.041
qwen3vl,prompt_level_2,development,-0.042,-0.079,-0.008
qwen3vl,prompt_level_2,mechanics,-0.036,-0.073,0.0
qwen3vl,prompt_level_2,structure,-0.073,-0.117,-0.037
qwen3vl,prompt_level_2,relevance,-0.016,-0.069,0.042
qwen3vl,prompt_level_2,final_score,-0.058,-0.098,-0.03
qwen3vl,prompt_level_3,organization,0.265,0.18,0.352
qwen3vl,prompt_level_3,vocabulary,0.005,-0.123,0.123
qwen3vl,prompt_level_3,style,0.178,0.078,0.275
qwen3vl,prompt_level_3,development,0.058,-0.07,0.185
qwen3vl,prompt_level_3,mechanics,0.192,0.092,0.291
qwen3vl,prompt_level_3,structure,0.176,0.072,0.269
qwen3vl,prompt_level_3,relevance,0.205,0.057,0.348
qwen3vl,prompt_level_3,final_score,0.204,0.107,0.293
gpt4,prompt_level_1,organization,0.09,0.052,0.127
gpt4,prompt_level_1,vocabulary,0.042,-0.002,0.085
gpt4,prompt_level_1,style,0.013,-0.017,0.045
gpt4,prompt_level_1,development,0.055,0.027,0.086
gpt4,prompt_level_1,mechanics,0.06,0.024,0.096
gpt4,prompt_level_1,structure,0.034,-0.003,0.07
gpt4,prompt_level_1,relevance,0.0,0.0,0.0
gpt4,prompt_level_1,final_score,0.051,0.027,0.076
gpt4,prompt_level_2,organization,0.025,0.0,0.054
gpt4,prompt_level_2,vocabulary,0.033,0.007,0.069
gpt4,prompt_level_2,style,0.028,0.006,0.058
gpt4,prompt_level_2,development,0.016,0.0,0.039
gpt4,prompt_level_2,mechanics,0.044,0.005,0.085
gpt4,prompt_level_2,structure,0.034,0.006,0.078
gpt4,prompt_level_2,relevance,0.022,-0.018,0.072
gpt4,prompt_level_2,final_score,0.033,0.011,0.062
qwen15,prompt_level_1,organization,0.041,-0.028,0.113
qwen15,prompt_level_1,vocabulary,0.017,-0.017,0.054
qwen15,prompt_level_1,style,0.006,-0.032,0.041
qwen15,prompt_level_1,development,0.015,-0.019,0.051
qwen15,prompt_level_1,mechanics,0.014,-0.017,0.047
qwen15,prompt_level_1,structure,0.017,-0.025,0.052
qwen15,prompt_level_1,relevance,0.006,-0.026,0.045
qwen15,prompt_level_1,final_score,0.004,-0.084,0.1
qwen15,prompt_level_2,organization,-0.001,-0.122,0.107
qwen15,prompt_level_2,vocabulary,0.058,-0.089,0.197
qwen15,prompt_level_2,style,0.036,-0.096,0.176
qwen15,prompt_level_2,development,0.042,-0.08,0.159
qwen15,prompt_level_2,mechanics,-0.016,-0.145,0.113
qwen15,prompt_level_2,structure,0.023,-0.088,0.125
qwen15,prompt_level_2,relevance,0.115,0.023,0.208
qwen15,prompt_level_2,final_score,0.04,-0.09,0.165
qwen15,prompt_level_3,organization,-0.003,-0.034,0.03
qwen15,prompt_level_3,vocabulary,-0.033,-0.084,0.018
qwen15,prompt_level_3,style,0.001,-0.029,0.028
qwen15,prompt_level_3,development,-0.002,-0.038,0.031
qwen15,prompt_level_3,mechanics,0.04,-0.017,0.097
qwen15,prompt_level_3,structure,-0.02,-0.041,0.001
qwen15,prompt_level_3,relevance,0.053,-0.083,0.195
qwen15,prompt_level_3,final_score,0.007,-0.009,0.026
qwen25,prompt_level_1,organization,0.016,-0.014,0.049
qwen25,prompt_level_1,vocabulary,0.017,-0.015,0.054
qwen25,prompt_level_1,style,0.073,-0.025,0.163
qwen25,prompt_level_1,development,0.015,-0.012,0.045
qwen25,prompt_level_1,mechanics,0.066,-0.042,0.177
qwen25,prompt_level_1,structure,0.008,-0.026,0.045
qwen25,prompt_level_1,relevance,0.0,0.0,0.0
qwen25,prompt_level_1,final_score,0.025,-0.026,0.082
qwen25,prompt_level_2,organization,0.158,0.052,0.261
qwen25,prompt_level_2,vocabulary,-0.028,-0.085,0.022
qwen25,prompt_level_2,style,-0.041,-0.121,0.032
qwen25,prompt_level_2,development,0.005,-0.1,0.104
qwen25,prompt_level_2,mechanics,-0.023,-0.081,0.036
qwen25,prompt_level_2,structure,-0.0,-0.004,0.002
qwen25,prompt_level_2,relevance,-0.026,-0.113,0.044
qwen25,prompt_level_2,final_score,0.066,0.01,0.123
qwen25,prompt_level_3,organization,0.096,-0.025,0.206
qwen25,prompt_level_3,vocabulary,0.1,-0.031,0.232
qwen25,prompt_level_3,style,0.049,-0.074,0.175
qwen25,prompt_level_3,development,-0.013,-0.094,0.071
qwen25,prompt_level_3,mechanics,0.063,-0.026,0.151
qwen25,prompt_level_3,structure,0.072,-0.038,0.18
qwen25,prompt_level_3,relevance,-0.07,-0.155,0.012
qwen25,prompt_level_3,final_score,0.042,-0.043,0.119
llama,prompt_level_1,organization,0.001,-0.066,0.062
llama,prompt_level_1,vocabulary,0.031,-0.057,0.12
llama,prompt_level_1,style,-0.002,-0.074,0.071
llama,prompt_level_1,development,0.091,0.021,0.175
llama,prompt_level_1,mechanics,-0.012,-0.103,0.048
llama,prompt_level_1,structure,0.047,-0.039,0.136
llama,prompt_level_1,relevance,0.074,-0.07,0.22
llama,prompt_level_1,final_score,-0.035,-0.139,0.071
llama,prompt_level_2,organization,0.017,-0.068,0.105
llama,prompt_level_2,vocabulary,0.04,-0.048,0.141
llama,prompt_level_2,style,0.045,-0.029,0.123
llama,prompt_level_2,development,0.093,0.02,0.182
llama,prompt_level_2,mechanics,-0.002,-0.096,0.082
llama,prompt_level_2,structure,0.035,-0.045,0.12
llama,prompt_level_2,relevance,0.028,-0.105,0.189
llama,prompt_level_2,final_score,0.044,-0.029,0.118
llama,prompt_level_3,organization,0.0,0.0,0.0
llama,prompt_level_3,vocabulary,0.0,0.0,0.0
llama,prompt_level_3,style,0.0,0.0,0.0
llama,prompt_level_3,development,0.0,0.0,0.0
llama,prompt_level_3,mechanics,0.0,0.0,0.0
llama,prompt_level_3,structure,0.0,0.0,0.0
llama,prompt_level_3,relevance,0.0,0.0,0.0
llama,prompt_level_3,final_score,0.0,0.0,0.0
